表4-1  科系別學生人數統計,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
學年度,學校代碼,學校名稱,日夜別,等級別,科系代碼,科系名稱,學生數總計,,,一年級,,二年級,,三年級,,四年級,,五年級,,六年級,,七年級,,延修生,
,,,,,,,計,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女
YEAR,SCODE,SNAME,DNS,LEVEL,BCODE,BNAME,T,M,F,M1,F1,M2,F2,M3,F3,M4,F4,M5,F5,M6,F6,M7,F7,M8,F8
97,0008,國立中央大學,D,M,520101,電機工程學系碩士班,271,246,25,107,9,97,13,41,3,1,,,,,,,,,
97,0008,國立中央大學,D,M,520114,資訊工程學系碩士班,208,184,24,83,14,83,10,15,,3,,,,,,,,,
97,0008,國立中央大學,D,M,520126,通訊工程學系碩士班,98,72,26,36,14,34,11,2,1,,,,,,,,,,
97,0008,國立中央大學,D,M,140805,網路學習科技研究所碩士班,37,24,13,11,6,11,7,2,,,,,,,,,,,
97,0008,國立中央大學,D,M,480306,軟體工程研究所碩士班,10,8,2,3,2,5,,,,,,,,,,,,,
97,0008,國立中央大學,D,M,440402,大氣物理研究所碩士班,50,30,20,11,10,15,8,3,2,1,,,,,,,,,
97,0008,國立中央大學,D,M,440209,地球物理研究所碩士班,44,35,9,14,6,15,3,5,,1,,,,,,,,,
97,0008,國立中央大學,D,M,440603,太空科學研究所碩士班,46,37,9,20,4,16,5,1,,,,,,,,,,,
97,0008,國立中央大學,D,M,440204,應用地質研究所碩士班,37,25,12,10,5,10,6,4,,1,1,,,,,,,,
97,0008,國立中央大學,D,M,440207,水文與海洋科學研究所碩士班,20,15,5,6,1,7,4,2,,,,,,,,,,,
97,0008,國立中央大學,D,M,310723,客家社會文化研究所碩士班,34,8,26,2,8,3,11,1,5,2,2,,,,,,,,
97,0008,國立中央大學,D,M,220103,客家語文研究所碩士班,34,10,24,2,6,2,6,3,7,3,5,,,,,,,,
97,0008,國立中央大學,D,M,310403,客家政治經濟研究所碩士班,30,11,19,5,5,4,5,2,8,,1,,,,,,,,
97,0008,國立中央大學,D,M,380103,法律與政府研究所碩士班,23,11,12,4,8,4,1,3,3,,,,,,,,,,
97,0008,國立中央大學,N,M,SUBT3,碩士在職專班           共計,1465,1015,450,342,178,358,151,173,74,109,39,,,0,0,0,0,33,8
97,0008,國立中央大學,N,M,220201,中國文學系碩士在職專班,81,9,72,3,12,2,22,2,23,1,14,,,,,,,1,1
97,0008,國立中央大學,N,M,221101,哲學研究所碩士在職專班,44,22,22,7,4,4,10,6,5,5,2,,,,,,,,1
97,0008,國立中央大學,N,M,220901,歷史研究所碩士在職專班,99,49,50,11,18,17,12,11,10,9,7,,,,,,,1,3
97,0008,國立中央大學,N,M,520108,光電科學與工程學系碩士在職專班,45,40,5,8,2,14,,10,2,7,1,,,,,,,1,
97,0008,國立中央大學,N,M,520301, 土木工程學系碩士在職專班,75,69,6,28,1,26,3,5,,7,2,,,,,,,3,
97,0008,國立中央大學,N,M,520201,機械工程學系碩士在職專班,87,82,5,24,4,22,1,21,,9,,,,,,,,6,
97,0008,國立中央大學,N,M,349927,營建管理研究所碩士在職專班,30,25,5,11,4,14,1,,,,,,,,,,,,
97,0008,國立中央大學,N,M,520901,環境工程研究所碩士在職專班,77,61,16,23,7,23,8,6,1,6,,,,,,,,3,
97,0008,國立中央大學,N,M,520911,國際永續發展碩士在職專班,14,8,6,6,2,2,4,,,,,,,,,,,,
