班級數統計1101(依據110/10/15在學學生資料-不含交換生及休學生),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
學年度,學校代號,學校名稱,日夜別,等級別,科系代號,科系名稱,班級數計,一年級,二年級,三年級,四年級,五年級,六年級,七年級
YEAR,SCODE,SNAME,DNS,LEVEL,EDU_CODE,BNAME,T,C1,C2,C3,C4,C5,C6,C7
110,8,國立中央大學,D,M,1252,    應用地質研究所碩士班,3,1,1,1,0,0,0,0
110,8,國立中央大學,D,M,1253,    水文與海洋科學研究所碩士班,3,1,1,1,0,0,0,0
110,8,國立中央大學,D,M,15185,    太空科學與工程學系碩士班,4,1,1,1,1,0,0,0
110,8,國立中央大學,D,M,1257,    法律與政府研究所碩士班,4,1,1,1,1,0,0,0
110,8,國立中央大學,D,M,9936,    客家語文暨社會科學學系客家社會文化碩士班,4,1,1,1,1,0,0,0
110,8,國立中央大學,D,M,9938,    客家語文暨社會科學學系客家語文碩士班,4,1,1,1,1,0,0,0
110,8,國立中央大學,D,M,9464,    客家語文暨社會科學學系客家政治經濟碩士班,4,1,1,1,1,0,0,0
110,8,國立中央大學,D,M,1179,    生命科學系碩士班,4,1,1,1,1,0,0,0
110,8,國立中央大學,D,M,1180,    認知神經科學研究所碩士班,4,1,1,1,1,0,0,0
110,8,國立中央大學,D,M,10238,    生醫科學與工程學系系統生物與生物資訊碩士班,4,1,1,1,1,0,0,0
110,8,國立中央大學,D,M,10237,    生醫科學與工程學系生物醫學工程碩士班,4,1,1,1,1,0,0,0
110,8,國立中央大學,V,,SUBT3,碩士在職專班           共計,100,21,20,20,19,20,0,0
110,8,國立中央大學,V,M,1149,    中國文學系碩士在職專班,1,0,0,0,0,1,0,0
110,8,國立中央大學,V,M,1156,    哲學研究所碩士在職專班,5,1,1,1,1,1,0,0
110,8,國立中央大學,V,M,1158,    歷史研究所碩士在職專班,5,1,1,1,1,1,0,0
110,8,國立中央大學,V,M,5469,    光電科學與工程學系碩士在職專班,5,1,1,1,1,1,0,0
110,8,國立中央大學,V,M,1189,    土木工程學系碩士在職專班,5,1,1,1,1,1,0,0
110,8,國立中央大學,V,M,1193,    機械工程學系碩士在職專班,5,1,1,1,1,1,0,0
110,8,國立中央大學,V,M,1196,    環境工程研究所碩士在職專班,5,1,1,1,1,1,0,0
110,8,國立中央大學,V,M,14904,    土木工程學系營建管理碩士在職專班,5,1,1,1,1,1,0,0
110,8,國立中央大學,V,M,5479,    管理學院高階主管企管碩士班,9,2,2,2,2,1,0,0
110,8,國立中央大學,V,M,1208,    企業管理學系碩士在職專班,5,1,1,1,1,1,0,0
110,8,國立中央大學,V,M,1212,    資訊管理學系碩士在職專班,4,1,1,1,0,1,0,0
110,8,國立中央大學,V,M,1222,    產業經濟研究所碩士在職專班,5,1,1,1,1,1,0,0
110,8,國立中央大學,V,M,1228,    工業管理研究所碩士在職專班,5,1,1,1,1,1,0,0
110,8,國立中央大學,V,M,1225,    人力資源管理研究所碩士在職專班,5,1,1,1,1,1,0,0
110,8,國立中央大學,V,M,1219,    財務金融學系碩士在職專班,5,1,1,1,1,1,0,0
110,8,國立中央大學,V,M,10218,    會計研究所企業資源規劃會計碩士在職專班,5,1,1,1,1,1,0,0
110,8,國立中央大學,V,M,1236,    資訊工程學系碩士在職專班,5,1,1,1,1,1,0,0
110,8,國立中央大學,V,M,1240,    通訊工程學系碩士在職專班,5,1,1,1,1,1,0,0
110,8,國立中央大學,V,M,10243,    網路學習科技研究所碩士在職專班,5,1,1,1,1,1,0,0
110,8,國立中央大學,V,M,15494,    法律與政府研究所碩士在職專班,1,1,0,0,0,0,0,0
110,8,國立中央大學,V,M,9581,    客家語文暨社會科學學系客家研究碩士在職專班,5,1,1,1,1,1,0,0
110,8,國立中央大學,D,,SUBT4,博士班           共計,259,42,40,38,36,35,34,34
110,8,國立中央大學,D,D,12881,    環境科技博士學位學程(台灣聯合大學系統),4,1,1,1,1,0,0,0
110,8,國立中央大學,D,D,1147,    中國文學系博士班,7,1,1,1,1,1,1,1
110,8,國立中央大學,D,D,1154,    哲學研究所博士班,7,1,1,1,1,1,1,1
110,8,國立中央大學,D,D,1161,    學習與教學研究所博士班,7,1,1,1,1,1,1,1
110,8,國立中央大學,D,D,1163,    數學系博士班,5,1,1,0,1,1,0,1
110,8,國立中央大學,D,D,1166,    物理學系博士班,7,1,1,1,1,1,1,1
110,8,國立中央大學,D,D,1169,    化學學系博士班,5,1,0,0,1,1,1,1
110,8,國立中央大學,D,D,1175,    統計研究所博士班,4,1,1,1,0,0,0,1
110,8,國立中央大學,D,D,1173,    光電科學與工程學系博士班,6,1,1,1,1,1,1,0
110,8,國立中央大學,D,D,1171,    天文研究所博士班,6,1,1,1,1,0,1,1
110,8,國立中央大學,D,D,10041,    光電博士學位學程(台灣聯合大學系統),1,0,0,1,0,0,0,0
110,8,國立中央大學,D,D,1187,    土木工程學系博士班,7,1,1,1,1,1,1,1
110,8,國立中央大學,D,D,1191,    機械工程學系博士班,7,1,1,1,1,1,1,1
110,8,國立中央大學,D,D,1184,    化學工程與材料工程學系博士班,7,1,1,1,1,1,1,1
110,8,國立中央大學,D,D,1194,    環境工程研究所博士班,6,1,1,1,1,1,0,1
110,8,國立中央大學,D,D,9933,    機械工程學系光機電工程博士班,5,1,1,1,0,0,1,1
110,8,國立中央大學,D,D,9466,    能源工程研究所博士班,6,1,1,1,1,1,1,0
110,8,國立中央大學,D,D,5473,    材料科學與工程研究所博士班,7,1,1,1,1,1,1,1
110,8,國立中央大學,D,D,14903,    土木工程學系營建管理博士班,7,1,1,1,1,1,1,1
110,8,國立中央大學,D,D,15218,    化學工程與材料工程學系工學博士班,2,1,1,0,0,0,0,0
110,8,國立中央大學,D,D,15220,    材料科學與工程研究所工學博士班,1,0,1,0,0,0,0,0
110,8,國立中央大學,D,D,1206,    企業管理學系博士班,7,1,1,1,1,1,1,1
110,8,國立中央大學,D,D,1210,    資訊管理學系博士班,5,1,1,1,0,1,0,1
110,8,國立中央大學,D,D,1220,    產業經濟研究所博士班,3,1,0,0,1,0,0,1
110,8,國立中央大學,D,D,1226,    工業管理研究所博士班,7,1,1,1,1,1,1,1
110,8,國立中央大學,D,D,1223,    人力資源管理研究所博士班,4,0,0,1,0,1,1,1
110,8,國立中央大學,D,D,1217,    財務金融學系博士班,5,1,1,1,1,0,1,0
110,8,國立中央大學,D,D,1214,    經濟學系博士班,2,0,0,0,0,1,0,1
110,8,國立中央大學,D,D,1230,    電機工程學系博士班,7,1,1,1,1,1,1,1
110,8,國立中央大學,D,D,1234,    資訊工程學系博士班,7,1,1,1,1,1,1,1
110,8,國立中央大學,D,D,1238,    通訊工程學系博士班,7,1,1,1,1,1,1,1
110,8,國立中央大學,D,D,1242,    網路學習科技研究所博士班,6,1,1,1,1,1,1,0
110,8,國立中央大學,D,D,9642,    大氣科學學系大氣物理博士班,7,1,1,1,1,1,1,1
110,8,國立中央大學,D,D,9644,    地球科學學系地球物理博士班,7,1,1,1,1,1,1,1
110,8,國立中央大學,D,D,1251,    應用地質研究所博士班,7,1,1,1,1,1,1,1
110,8,國立中央大學,D,D,5482,    水文與海洋科學研究所博士班,7,1,1,1,1,1,1,1
110,8,國立中央大學,D,D,15464,    太空科學與工程學系博士班,7,1,1,1,1,1,1,1
110,8,國立中央大學,D,D,5483,    地球系統科學國際研究生博士學位學程,7,1,1,1,1,1,1,1
110,8,國立中央大學,D,D,9465,    客家語文暨社會科學學系客家研究博士班,7,1,1,1,1,1,1,1
110,8,國立中央大學,D,D,1178,    生命科學系博士班,7,1,1,1,1,1,1,1
110,8,國立中央大學,D,D,8497,    認知神經科學研究所博士班,4,1,1,0,1,1,0,0
110,8,國立中央大學,D,D,10241,    生醫科學與工程學系跨領域轉譯醫學博士班,7,1,1,1,1,1,1,1
110,8,國立中央大學,D,D,9808,    跨領域神經科學博士學位學程(台灣聯合大學系統),2,1,0,0,0,0,1,0
110,8,國立中央大學,D,D,10240,    生醫科學與工程學系系統生物與生物資訊博士班,7,1,1,1,1,1,1,1
110,8,國立中央大學,D,D,10239,    生醫科學與工程學系生物醫學工程博士班,6,1,1,1,1,1,1,0
110,8,國立中央大學,D,D,14767,    跨領域神經科學國際研究生博士學位學程,3,1,1,1,0,0,0,0
