表4-1  科系別學生人數統計(依據103/10/15在學學生資料-不含交換生及休學生),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27
學年度,學校代碼,學校名稱,日夜別,等級別,科系代碼,科系名稱,學生數總計,,,一年級,,二年級,,三年級,,四年級,,五年級,,六年級,,七年級,,八年級,,延修生,
,,,,,,,計,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女
YEAR,SCODE,SNAME,DNS,LEVEL,EDU_CODE,BNAME,T,M,F,M1,F1,M2,F2,M3,F3,M4,F4,M5,F5,M6,F6,M7,F7,M8,F8,M9,F9
103,8,國立中央大學,D,碩士班,340501,    財務金融學系碩士班,53,30,23,15,11,15,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0
103,8,國立中央大學,D,碩士班,310101,    經濟學系碩士班,23,16,7,5,2,9,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0
103,8,國立中央大學,D,碩士班,340201,    會計研究所碩士班,29,13,16,6,8,7,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0
103,8,國立中央大學,D,碩士班,520101,    電機工程學系碩士班,272,238,34,97,17,100,12,35,5,6,0,0,0,0,0,0,0,0,0,0,0
103,8,國立中央大學,D,碩士班,520114,    資訊工程學系碩士班,228,192,36,84,21,97,14,10,1,1,0,0,0,0,0,0,0,0,0,0,0
103,8,國立中央大學,D,碩士班,520126,    通訊工程學系碩士班,114,96,18,37,11,49,6,9,1,1,0,0,0,0,0,0,0,0,0,0,0
103,8,國立中央大學,D,碩士班,140805,    網路學習科技研究所碩士班,33,19,14,9,7,9,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0
103,8,國立中央大學,D,碩士班,520114,    資訊工程學系軟體工程碩士班,19,15,4,8,3,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,8,國立中央大學,D,碩士班,440401,    大氣科學學系大氣物理碩士班,49,35,14,16,8,14,4,4,2,1,0,0,0,0,0,0,0,0,0,0,0
103,8,國立中央大學,D,碩士班,440201,    地球科學學系地球物理碩士班,56,35,21,14,9,17,9,3,3,1,0,0,0,0,0,0,0,0,0,0,0
103,8,國立中央大學,D,碩士班,440603,    太空科學研究所碩士班,46,40,6,18,4,17,2,3,0,1,0,0,0,0,0,0,0,0,0,1,0
103,8,國立中央大學,D,碩士班,440204,    應用地質研究所碩士班,36,30,6,12,3,12,3,4,0,2,0,0,0,0,0,0,0,0,0,0,0
103,8,國立中央大學,D,碩士班,440207,    水文與海洋科學研究所碩士班,21,14,7,6,4,6,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0
103,8,國立中央大學,D,碩士班,380103,    法律與政府研究所碩士班,45,18,27,8,8,5,7,2,6,3,6,0,0,0,0,0,0,0,0,0,0
103,8,國立中央大學,D,碩士班,311025,    客家語文暨社會科學學系客家社會文化碩士班,29,13,16,1,5,3,4,3,5,6,2,0,0,0,0,0,0,0,0,0,0
103,8,國立中央大學,D,碩士班,311025,    客家語文暨社會科學學系客家語文碩士班,24,6,18,2,1,2,4,1,8,1,4,0,0,0,0,0,0,0,0,0,1
103,8,國立中央大學,D,碩士班,311025,    客家語文暨社會科學學系客家政治經濟碩士班,26,8,18,6,4,0,11,1,1,1,2,0,0,0,0,0,0,0,0,0,0
103,8,國立中央大學,D,碩士班,420103,    生命科學系碩士班,63,43,20,14,7,20,2,7,8,2,3,0,0,0,0,0,0,0,0,0,0
