1131(依據113/10/15在學學生資料-不含交換生及休學生),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27
學年度,學校代碼,學校名稱,日夜別,等級別,科系代碼,科系名稱,學生數總計,,,一年級,,二年級,,三年級,,四年級,,五年級,,六年級,,七年級,,八年級,,延修生,
,,,,,,,計,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女
YEAR,SCODE,SNAME,DNS,LEVEL,EDU_CODE,BNAME,T,M,F,M1,F1,M2,F2,M3,F3,M4,F4,M5,F5,M6,F6,M7,F7,M8,F8,M9,F9
113,8,國立中央大學,D,M,1224,    人力資源管理研究所碩士班,53,11,42,7,16,4,17,0,8,0,1,0,0,0,0,0,0,0,0,0,0
113,8,國立中央大學,D,M,1218,    財務金融學系碩士班,55,34,21,12,11,17,8,5,1,0,1,0,0,0,0,0,0,0,0,0,0
113,8,國立中央大學,D,M,1215,    經濟學系碩士班,33,19,14,10,6,7,6,2,2,0,0,0,0,0,0,0,0,0,0,0,0
113,8,國立中央大學,D,M,5478,    會計研究所碩士班,29,9,20,7,9,2,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0
113,8,國立中央大學,D,M,15845,    國際經營管理碩士學位學程,41,14,27,8,14,2,9,4,4,0,0,0,0,0,0,0,0,0,0,0,0
113,8,國立中央大學,D,M,1231,    電機工程學系碩士班,399,326,73,120,29,117,26,60,16,29,2,0,0,0,0,0,0,0,0,0,0
113,8,國立中央大學,D,M,1235,    資訊工程學系碩士班,289,202,87,99,43,89,40,8,3,6,1,0,0,0,0,0,0,0,0,0,0
113,8,國立中央大學,D,M,1239,    通訊工程學系碩士班,157,128,29,54,14,50,13,20,2,4,0,0,0,0,0,0,0,0,0,0,0
113,8,國立中央大學,D,M,1241,    網路學習科技研究所碩士班,51,33,18,11,12,17,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0
113,8,國立中央大學,D,M,9934,    資訊工程學系軟體工程碩士班,29,28,1,10,1,16,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
113,8,國立中央大學,D,M,14701,    資訊工程學系AI碩士班,23,16,7,8,3,7,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
113,8,國立中央大學,D,M,15771,    人工智慧國際碩士學位學程,36,28,8,17,2,9,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0
113,8,國立中央大學,D,M,9641,    大氣科學學系大氣物理碩士班,52,32,20,13,7,10,5,9,7,0,1,0,0,0,0,0,0,0,0,0,0
113,8,國立中央大學,D,M,9643,    地球科學學系地球物理碩士班,50,23,27,10,13,9,10,3,4,1,0,0,0,0,0,0,0,0,0,0,0
113,8,國立中央大學,D,M,1252,    應用地質研究所碩士班,24,12,12,4,9,7,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
113,8,國立中央大學,D,M,1253,    水文與海洋科學研究所碩士班,21,12,9,5,4,2,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0
113,8,國立中央大學,D,M,15185,    太空科學與工程學系碩士班,48,34,14,17,4,9,8,5,1,3,1,0,0,0,0,0,0,0,0,0,0
