表4-1  科系別學生人數統計(依據100/10/15在學學生資料-不含交換生及休學生),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
學年度,學校代碼,學校名稱,日夜別,等級別,科系代碼,科系名稱,學生數總計,,,一年級,,二年級,,三年級,,四年級,,五年級,,六年級,,七年級,,延修生,
,,,,,,,計,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女
YEAR,SCODE,SNAME,DNS,LEVEL,BCODE,BNAME,T,M,F,M1,F1,M2,F2,M3,F3,M4,F4,M5,F5,M6,F6,M7,F7,M8,F8
100,0008,國立中央大學,D,M,220201,中國文學系碩士班,54,15,39,6,10,3,7,2,8,4,14,0,0,0,0,0,0,0,0
100,0008,國立中央大學,D,M,220310,英美語文學系碩士班,50,14,36,5,6,1,13,3,6,5,11,0,0,0,0,0,0,0,0
100,0008,國立中央大學,D,M,220314,法國語文學系碩士班,25,3,22,0,7,3,3,0,4,0,8,0,0,0,0,0,0,0,0
100,0008,國立中央大學,D,M,221101,哲學研究所碩士班,31,13,18,3,5,4,3,2,4,4,6,0,0,0,0,0,0,0,0
100,0008,國立中央大學,D,M,220901,歷史研究所碩士班,52,34,18,9,4,7,8,7,4,10,2,0,0,0,0,0,0,1,0
100,0008,國立中央大學,D,M,210701,藝術學研究所碩士班,49,6,43,4,7,1,11,1,12,0,13,0,0,0,0,0,0,0,0
100,0008,國立中央大學,D,M,140111,學習與教學研究所碩士班,24,1,23,0,10,0,9,1,3,0,1,0,0,0,0,0,0,0,0
100,0008,國立中央大學,D,M,210520,中國文學系戲曲碩士班,13,5,8,2,3,2,3,1,2,0,0,0,0,0,0,0,0,0,0
100,0008,國立中央大學,D,M,460101,數學系碩士班,62,42,20,15,10,18,5,4,5,5,0,0,0,0,0,0,0,0,0
100,0008,國立中央大學,D,M,440301,物理學系碩士班,86,67,19,30,6,23,10,9,3,5,0,0,0,0,0,0,0,0,0
100,0008,國立中央大學,D,M,440101,化學學系碩士班,123,72,51,41,21,28,29,3,1,0,0,0,0,0,0,0,0,0,0
100,0008,國立中央大學,D,M,420103,生命科學系碩士班,57,27,30,11,8,11,11,5,11,0,0,0,0,0,0,0,0,0,0
100,0008,國立中央大學,D,M,460201,統計研究所碩士班,44,27,17,13,9,14,8,0,0,0,0,0,0,0,0,0,0,0,0
100,0008,國立中央大學,D,M,520106,光電科學與工程學系碩士班,135,119,16,57,6,46,6,11,3,5,1,0,0,0,0,0,0,0,0
100,0008,國立中央大學,D,M,310510,認知與神經科學研究所碩士班,20,4,16,0,8,2,7,0,0,2,1,0,0,0,0,0,0,0,0
100,0008,國立中央大學,D,M,440601,天文研究所碩士班,18,11,7,4,1,4,4,2,1,1,1,0,0,0,0,0,0,0,0
100,0008,國立中央大學,D,M,440304,物理學系生物物理碩士班,17,12,5,4,3,3,2,5,0,0,0,0,0,0,0,0,0,0,0
100,0008,國立中央大學,D,M,520165,光電科學與工程學系照明與顯示科技碩士班,26,21,5,13,3,7,2,1,0,0,0,0,0,0,0,0,0,0,0
100,0008,國立中央大學,D,M,420604,系統生物與生物資訊研究所碩士班,25,16,9,5,4,7,4,3,1,1,0,0,0,0,0,0,0,0,0
100,0008,國立中央大學,D,M,520301,土木工程學系碩士班,224,183,41,76,22,76,15,29,4,2,0,0,0,0,0,0,0,0,0
100,0008,國立中央大學,D,M,520201,機械工程學系碩士班,213,203,10,95,3,82,5,22,2,4,0,0,0,0,0,0,0,0,0
100,0008,國立中央大學,D,M,520403,化學工程與材料工程學系碩士班,130,95,35,42,22,45,13,7,0,1,0,0,0,0,0,0,0,0,0
100,0008,國立中央大學,D,M,349927,營建管理研究所碩士班,22,17,5,7,0,10,5,0,0,0,0,0,0,0,0,0,0,0,0
100,0008,國立中央大學,D,M,520901,環境工程研究所碩士班,72,44,28,20,8,16,11,7,9,1,0,0,0,0,0,0,0,0,0
100,0008,國立中央大學,D,M,520229,機械工程學系光機電工程碩士班,50,46,4,20,2,20,2,6,0,0,0,0,0,0,0,0,0,0,0
100,0008,國立中央大學,D,M,521309,能源工程研究所碩士班,46,36,10,14,5,19,2,3,3,0,0,0,0,0,0,0,0,0,0
100,0008,國立中央大學,D,M,520502,材料科學與工程研究所碩士班,42,36,6,18,4,17,2,0,0,1,0,0,0,0,0,0,0,0,0
100,0008,國立中央大學,D,M,521108,生物醫學工程研究所碩士班,30,26,4,14,2,9,2,3,0,0,0,0,0,0,0,0,0,0,0
100,0008,國立中央大學,D,M,340301,企業管理學系碩士班,127,60,67,29,35,29,31,2,1,0,0,0,0,0,0,0,0,0,0
100,0008,國立中央大學,D,M,480109,資訊管理學系碩士班,111,73,38,31,25,41,13,1,0,0,0,0,0,0,0,0,0,0,0
100,0008,國立中央大學,D,M,310104,產業經濟研究所碩士班,62,25,37,9,15,13,11,3,6,0,5,0,0,0,0,0,0,0,0
100,0008,國立中央大學,D,M,349906,工業管理研究所碩士班,63,46,17,22,8,21,7,2,2,1,0,0,0,0,0,0,0,0,0
100,0008,國立中央大學,D,M,349919,人力資源管理研究所碩士班,56,13,43,7,18,6,21,0,3,0,1,0,0,0,0,0,0,0,0
100,0008,國立中央大學,D,M,340501,財務金融學系碩士班,61,32,29,15,16,16,11,1,2,0,0,0,0,0,0,0,0,0,0
100,0008,國立中央大學,D,M,310101,經濟學系碩士班,27,18,9,8,6,10,3,0,0,0,0,0,0,0,0,0,0,0,0
100,0008,國立中央大學,D,M,340201,會計研究所碩士班,24,9,15,7,7,2,8,0,0,0,0,0,0,0,0,0,0,0,0
