1091(依據109/10/15在學學生資料-不含交換生及休學生),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27
學年度,學校代碼,學校名稱,日夜別,等級別,科系代碼,科系名稱,學生數總計,,,一年級,,二年級,,三年級,,四年級,,五年級,,六年級,,七年級,,八年級,,延修生,
,,,,,,,計,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女
YEAR,SCODE,SNAME,DNS,LEVEL,EDU_CODE,BNAME,T,M,F,M1,F1,M2,F2,M3,F3,M4,F4,M5,F5,M6,F6,M7,F7,M8,F8,M9,F9
109,8,國立中央大學,D,D,15122,    太空科學與工程學系博士班,21,17,4,3,0,4,1,2,2,3,1,2,0,1,0,2,0,0,0,0,0
109,8,國立中央大學,D,D,5483,    地球系統科學國際研究生博士學位學程,53,32,21,4,6,5,1,7,2,1,3,7,3,5,4,3,2,0,0,0,0
109,8,國立中央大學,D,D,9465,    客家語文暨社會科學學系客家研究博士班,28,14,14,2,3,4,0,2,0,1,4,0,4,1,2,4,1,0,0,0,0
109,8,國立中央大學,D,D,1178,    生命科學系博士班,31,18,13,2,1,2,4,3,2,2,1,2,2,4,1,2,2,1,0,1,0
109,8,國立中央大學,D,D,8497,    認知神經科學研究所博士班,11,8,3,2,1,1,0,1,2,2,0,0,0,1,0,1,0,0,0,0,0
109,8,國立中央大學,D,D,10241,    生醫科學與工程學系跨領域轉譯醫學博士班,26,20,6,5,1,1,1,4,2,4,0,4,1,2,1,0,0,0,0,0,0
109,8,國立中央大學,D,D,9808,    跨領域神經科學博士學位學程(台灣聯合大學系統),1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
109,8,國立中央大學,D,D,10240,    生醫科學與工程學系系統生物與生物資訊博士班,20,12,8,1,3,2,1,2,1,2,2,4,1,0,0,1,0,0,0,0,0
109,8,國立中央大學,D,D,10239,    生醫科學與工程學系生物醫學工程博士班,16,9,7,1,0,3,2,2,2,1,2,2,1,0,0,0,0,0,0,0,0
109,8,國立中央大學,D,D,14767,    跨領域神經科學國際研究生博士學位學程,4,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
