表4-1  科系別學生人數統計,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,本表以981015資料為準，同報教育部統計資料,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
學年度,學校代碼,學校名稱,日夜別,等級別,科系代碼,科系名稱,學生數總計,,,一年級,,二年級,,三年級,,四年級,,五年級,,六年級,,七年級,,延修生,
,,,,,,,計,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女
YEAR,SCODE,SNAME,DNS,LEVEL,EDU_CODE,BNAME,T,M,F,M1,F1,M2,F2,M3,F3,M4,F4,M5,F5,M6,F6,M7,F7,M8,F8
98,0008,國立中央大學,D,D,310104,    產業經濟研究所博士班,31,15,16,6,1,3,1,3,2,1,2,1,4,1,4,0,2,0,0
98,0008,國立中央大學,D,D,349906,    工業管理研究所博士班,23,20,3,7,1,2,0,2,0,2,1,3,0,3,1,1,0,0,0
98,0008,國立中央大學,D,D,349919,    人力資源管理研究所博士班,19,6,13,2,2,3,2,0,3,0,1,1,3,0,1,0,1,0,0
98,0008,國立中央大學,D,D,340501,    財務金融學系博士班,16,11,5,1,1,2,1,1,0,1,1,4,1,2,1,0,0,0,0
98,0008,國立中央大學,D,D,310101,    經濟學系博士班,22,13,9,4,2,2,3,3,1,2,1,2,2,0,0,0,0,0,0
98,0008,國立中央大學,D,D,520101,    電機工程學系博士班,146,137,9,25,3,17,0,25,0,19,1,22,3,16,2,13,0,0,0
98,0008,國立中央大學,D,D,520114,    資訊工程學系博士班,132,124,8,23,3,18,1,25,2,13,0,15,1,15,0,15,1,0,0
98,0008,國立中央大學,D,D,520126,    通訊工程學系博士班,44,41,3,8,0,11,1,6,1,7,0,4,1,5,0,0,0,0,0
98,0008,國立中央大學,D,D,140805,    網路學習科技研究所博士班,22,16,6,5,4,3,1,7,0,1,1,0,0,0,0,0,0,0,0
98,0008,國立中央大學,D,D,440402,    大氣物理研究所博士班,23,19,4,3,1,4,0,0,1,1,1,3,1,4,0,4,0,0,0
98,0008,國立中央大學,D,D,440209,    地球物理研究所博士班,42,34,8,6,0,3,0,4,2,5,4,6,0,5,2,5,0,0,0
98,0008,國立中央大學,D,D,440603,    太空科學研究所博士班,39,33,6,7,1,6,1,5,0,6,0,2,1,2,2,5,1,0,0
98,0008,國立中央大學,D,D,440204,    應用地質研究所博士班,7,3,4,3,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0
98,0008,國立中央大學,D,D,440207,    水文與海洋科學研究所博士班,6,6,0,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
98,0008,國立中央大學,D,D,440213,    地球系統科學國際研究生博士學位學程,5,4,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,0008,國立中央大學,D,,SUBT5,產業研發碩士專班           共計,21,19,2,0,0,8,2,8,0,3,0,0,0,0,0,0,0,0,0
98,0008,國立中央大學,D,M,520188,    光電科學與工程學系光電產業研發碩士專班,3,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
98,0008,國立中央大學,D,M,520188,    光電科學與工程學系光電顯示產業研發碩士專班,8,8,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
98,0008,國立中央大學,D,M,520188,    資電學院嵌入式系統產業研發碩士外國學生專班,10,8,2,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0
