表4-1  科系別學生人數統計    依據100/3/15在學學生人數統計（不含休學及交換生）,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
學年度,學校代碼,學校名稱,日夜別,等級別,科系代碼,科系名稱,學生數總計,,,一年級,,二年級,,三年級,,四年級,,五年級,,六年級,,七年級,,延修生,
,,,,,,,計,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女
YEAR,SCODE,SNAME,DNS,LEVEL,EDU_CODE,BNAME,T,M,F,M1,F1,M2,F2,M3,F3,M4,F4,M5,F5,M6,F6,M7,F7,M8,F8
99,8,國立中央大學,N,,220201,    中國文學系碩士班,57,15,42,4,8,3,8,5,11,3,15,0,0,0,0,0,0,0,0
99,8,國立中央大學,N,,220310,    英美語文學系碩士班,47,12,35,1,14,3,6,4,5,4,10,0,0,0,0,0,0,0,0
99,8,國立中央大學,N,,220314,    法國語文學系碩士班,27,4,23,3,4,0,5,0,8,1,6,0,0,0,0,0,0,0,0
99,8,國立中央大學,N,,221101,    哲學研究所碩士班,31,13,18,3,3,2,4,5,5,3,6,0,0,0,0,0,0,0,0
99,8,國立中央大學,N,,220901,    歷史研究所碩士班,48,30,18,6,7,8,5,7,2,9,4,0,0,0,0,0,0,0,0
99,8,國立中央大學,N,,210701,    藝術學研究所碩士班,43,2,41,1,11,0,11,0,10,1,9,0,0,0,0,0,0,0,0
99,8,國立中央大學,N,,140111,    學習與教學研究所碩士班,25,3,22,0,9,2,8,0,5,1,0,0,0,0,0,0,0,0,0
99,8,國立中央大學,N,,210520,    戲曲研究所碩士班,8,3,5,2,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0
99,8,國立中央大學,N,,460101,    數學系碩士班,60,43,17,16,5,12,9,13,3,2,0,0,0,0,0,0,0,0,0
99,8,國立中央大學,N,,440301,    物理學系碩士班,83,64,19,28,13,23,5,10,1,3,0,0,0,0,0,0,0,0,0
99,8,國立中央大學,N,,440101,    化學學系碩士班,114,58,56,28,25,30,29,0,2,0,0,0,0,0,0,0,0,0,0
99,8,國立中央大學,N,,420103,    生命科學系碩士班,50,22,28,14,13,7,13,1,2,0,0,0,0,0,0,0,0,0,0
99,8,國立中央大學,N,,460201,    統計研究所碩士班,42,24,18,14,8,9,10,1,0,0,0,0,0,0,0,0,0,0,0
99,8,國立中央大學,N,,520106,    光電科學與工程學系碩士班,142,123,19,52,11,59,7,10,1,2,0,0,0,0,0,0,0,0,0
99,8,國立中央大學,N,,310510,    認知與神經科學研究所碩士班,21,6,15,2,9,1,3,2,2,1,1,0,0,0,0,0,0,0,0
99,8,國立中央大學,N,,440601,    天文研究所碩士班,24,13,11,5,4,5,6,1,1,2,0,0,0,0,0,0,0,0,0
99,8,國立中央大學,N,,440304,    生物物理研究所碩士班,12,9,3,3,2,5,0,0,1,1,0,0,0,0,0,0,0,0,0
99,8,國立中央大學,N,,520165,    照明與顯示科技研究所,17,13,4,7,2,6,2,0,0,0,0,0,0,0,0,0,0,0,0
99,8,國立中央大學,N,,420604,    系統生物與生物資訊研究所碩士班,25,13,12,7,5,5,6,1,1,0,0,0,0,0,0,0,0,0,0
99,8,國立中央大學,N,,520301,    土木工程學系碩士班,196,164,32,82,17,69,12,11,2,2,1,0,0,0,0,0,0,0,0
99,8,國立中央大學,N,,520201,    機械工程學系碩士班,187,176,11,83,5,79,6,9,0,5,0,0,0,0,0,0,0,0,0
99,8,國立中央大學,N,,520403,    化學工程與材料工程學系碩士班,130,100,30,50,17,47,12,3,1,0,0,0,0,0,0,0,0,0,0
99,8,國立中央大學,N,,349927,    營建管理研究所碩士班,32,21,11,11,4,9,7,1,0,0,0,0,0,0,0,0,0,0,0
99,8,國立中央大學,N,,520901,    環境工程研究所碩士班,57,31,26,17,11,10,15,3,0,1,0,0,0,0,0,0,0,0,0
99,8,國立中央大學,N,,520229,    光機電工程研究所碩士班,48,45,3,23,2,19,1,3,0,0,0,0,0,0,0,0,0,0,0
99,8,國立中央大學,N,,521309,    能源工程研究所碩士班,45,38,7,20,2,16,5,0,0,2,0,0,0,0,0,0,0,0,0
99,8,國立中央大學,N,,520502,    材料科學與工程研究所碩士班,35,29,6,16,2,11,4,2,0,0,0,0,0,0,0,0,0,0,0
99,8,國立中央大學,N,,521108,    生物醫學工程研究所碩士班,21,19,2,9,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0
99,8,國立中央大學,N,,340301,    企業管理學系碩士班,120,55,65,28,31,26,33,0,0,1,1,0,0,0,0,0,0,0,0
99,8,國立中央大學,N,,480109,    資訊管理學系碩士班,107,75,32,41,13,33,17,0,2,1,0,0,0,0,0,0,0,0,0
99,8,國立中央大學,N,,310104,    產業經濟研究所碩士班,55,20,35,13,11,5,15,0,8,2,1,0,0,0,0,0,0,0,0
99,8,國立中央大學,N,,349906,    工業管理研究所碩士班,60,41,19,21,7,19,12,1,0,0,0,0,0,0,0,0,0,0,0
99,8,國立中央大學,N,,349919,    人力資源管理研究所碩士班,51,13,38,6,21,7,16,0,1,0,0,0,0,0,0,0,0,0,0
99,8,國立中央大學,N,,340501,    財務金融學系碩士班,56,26,30,16,11,8,18,1,1,1,0,0,0,0,0,0,0,0,0
99,8,國立中央大學,N,,310101,    經濟學系碩士班,27,15,12,10,5,4,7,0,0,1,0,0,0,0,0,0,0,0,0
99,8,國立中央大學,N,,340201,    會計研究所碩士班,19,5,14,2,8,3,6,0,0,0,0,0,0,0,0,0,0,0,0
99,8,國立中央大學,N,,520101,    電機工程學系碩士班,239,206,33,96,19,91,14,18,0,1,0,0,0,0,0,0,0,0,0
99,8,國立中央大學,N,,520114,    資訊工程學系碩士班,207,173,34,80,18,83,14,5,2,5,0,0,0,0,0,0,0,0,0
99,8,國立中央大學,N,,520126,    通訊工程學系碩士班,101,86,15,40,7,44,8,2,0,0,0,0,0,0,0,0,0,0,0
99,8,國立中央大學,N,,140805,    網路學習科技研究所碩士班,34,15,19,10,8,5,11,0,0,0,0,0,0,0,0,0,0,0,0
99,8,國立中央大學,N,,480306,    軟體工程研究所碩士班,15,12,3,9,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0
99,8,國立中央大學,N,,440402,    大氣物理研究所碩士班,53,31,22,13,13,15,8,1,0,2,1,0,0,0,0,0,0,0,0
99,8,國立中央大學,N,,440209,    地球物理研究所碩士班,41,27,14,13,6,11,7,3,1,0,0,0,0,0,0,0,0,0,0
99,8,國立中央大學,N,,440603,    太空科學研究所碩士班,41,34,7,15,4,17,2,2,1,0,0,0,0,0,0,0,0,0,0
99,8,國立中央大學,N,,440204,    應用地質研究所碩士班,33,23,10,11,5,9,5,3,0,0,0,0,0,0,0,0,0,0,0
99,8,國立中央大學,N,,440207,    水文與海洋科學研究所碩士班,29,20,9,7,6,7,2,6,1,0,0,0,0,0,0,0,0,0,0
99,8,國立中央大學,N,,310723,    客家社會文化研究所碩士班,38,14,24,5,6,2,5,4,8,3,5,0,0,0,0,0,0,0,0
99,8,國立中央大學,N,,220103,    客家語文研究所碩士班,29,7,22,1,7,1,6,1,4,4,5,0,0,0,0,0,0,0,0
99,8,國立中央大學,N,,310403,    客家政治經濟研究所碩士班,28,7,21,0,10,2,8,3,1,2,2,0,0,0,0,0,0,0,0
99,8,國立中央大學,N,,380103,    法律與政府研究所碩士班,38,15,23,4,11,6,4,4,8,1,0,0,0,0,0,0,0,0,0
99,8,國立中央大學,N,,SUBT3,碩士在職專班           共計,1457,1036,421,366,153,346,152,148,63,105,34,71,19,0,0,0,0,0,0
99,8,國立中央大學,N,,220201,    中國文學系碩士在職專班,63,13,50,4,11,3,12,3,11,1,11,2,5,0,0,0,0,0,0
99,8,國立中央大學,N,,221101,    哲學研究所碩士在職專班,28,10,18,3,4,1,3,1,3,1,6,4,2,0,0,0,0,0,0
99,8,國立中央大學,N,,220901,    歷史研究所碩士在職專班,82,39,43,9,13,10,17,9,5,5,4,6,4,0,0,0,0,0,0
99,8,國立中央大學,N,,520106,    光電科學與工程學系碩士在職專班,52,48,4,11,0,12,2,10,2,8,0,7,0,0,0,0,0,0,0
99,8,國立中央大學,N,,520301,    土木工程學系碩士在職專班,75,69,6,27,4,27,1,6,0,8,1,1,0,0,0,0,0,0,0
99,8,國立中央大學,N,,520201,    機械工程學系碩士在職專班,93,91,2,25,0,25,1,13,1,14,0,14,0,0,0,0,0,0,0
99,8,國立中央大學,N,,349927,    營建管理研究所碩士在職專班,37,24,13,10,4,8,6,4,3,2,0,0,0,0,0,0,0,0,0
99,8,國立中央大學,N,,520901,    環境工程研究所碩士在職專班,84,66,18,23,5,23,6,10,5,6,2,4,0,0,0,0,0,0,0
99,8,國立中央大學,N,,520911,    國際永續發展碩士在職專班,14,11,3,4,3,6,0,1,0,0,0,0,0,0,0,0,0,0,0
99,8,國立中央大學,N,,349939,    管理學院高階主管企管碩士班,162,140,22,71,6,49,13,8,3,10,0,2,0,0,0,0,0,0,0
99,8,國立中央大學,N,,340301,    企業管理學系碩士在職專班,64,34,30,13,15,13,10,1,1,3,2,4,2,0,0,0,0,0,0
99,8,國立中央大學,N,,480109,    資訊管理學系碩士在職專班,62,50,12,23,7,27,5,0,0,0,0,0,0,0,0,0,0,0,0
99,8,國立中央大學,N,,310104,    產業經濟研究所碩士在職專班,71,34,37,9,15,13,10,9,9,2,2,1,1,0,0,0,0,0,0
99,8,國立中央大學,N,,349906,    工業管理研究所碩士在職專班,65,51,14,24,6,16,5,6,1,3,2,2,0,0,0,0,0,0,0
99,8,國立中央大學,N,,349919,    人力資源管理研究所碩士在職專班,66,20,46,9,19,9,23,0,4,1,0,1,0,0,0,0,0,0,0
99,8,國立中央大學,N,,340501,    財務金融學系碩士在職專班,61,34,27,13,16,20,9,1,1,0,0,0,1,0,0,0,0,0,0
99,8,國立中央大學,N,,520101,    電機工程學系碩士在職專班,109,105,4,28,1,25,1,25,0,17,1,10,1,0,0,0,0,0,0
99,8,國立中央大學,N,,520114,    資訊工程學系碩士在職專班,97,83,14,27,3,24,6,19,2,8,1,5,2,0,0,0,0,0,0
99,8,國立中央大學,N,,520126,    通訊工程學系碩士在職專班,88,79,9,23,2,25,3,14,3,10,1,7,0,0,0,0,0,0,0
99,8,國立中央大學,N,,310403,    客家研究碩士在職專班,84,35,49,10,19,10,19,8,9,6,1,1,1,0,0,0,0,0,0
99,8,國立中央大學,N,,SUBT4,博士班           共計,1437,1165,272,185,52,219,48,188,56,203,41,147,26,113,28,110,21,0,0
99,8,國立中央大學,N,,220201,    中國文學系博士班,49,24,25,5,3,5,6,4,4,4,3,4,5,1,4,1,0,0,0
99,8,國立中央大學,N,,221101,    哲學研究所博士班,48,26,22,5,4,3,4,3,5,7,2,4,2,2,3,2,2,0,0
99,8,國立中央大學,N,,140111,    學習與教學研究所博士班,20,8,12,1,2,3,3,4,4,0,3,0,0,0,0,0,0,0,0
99,8,國立中央大學,N,,460101,    數學系博士班,26,22,4,2,1,3,0,5,2,4,0,5,0,2,1,1,0,0,0
99,8,國立中央大學,N,,440301,    物理學系博士班,52,46,6,10,0,5,1,10,3,12,2,3,0,1,0,5,0,0,0
99,8,國立中央大學,N,,440101,    化學學系博士班,35,32,3,7,0,5,2,6,0,9,0,3,1,0,0,2,0,0,0
99,8,國立中央大學,N,,420103,    生命科學系博士班,38,24,14,5,6,6,2,7,0,2,4,4,0,0,2,0,0,0,0
99,8,國立中央大學,N,,460201,    統計研究所博士班,15,10,5,1,0,1,1,2,0,1,2,3,0,1,1,1,1,0,0
99,8,國立中央大學,N,,520106,    光電科學與工程學系博士班,69,63,6,8,0,12,1,13,2,11,2,9,0,5,1,5,0,0,0
99,8,國立中央大學,N,,440601,    天文研究所博士班,21,14,7,1,2,2,0,4,2,2,0,3,2,1,0,1,1,0,0
99,8,國立中央大學,N,,420604,    系統生物與生物資訊研究所博士班,24,17,7,2,3,2,2,4,2,6,0,3,0,0,0,0,0,0,0
99,8,國立中央大學,N,,520301,    土木工程學系博士班,74,67,7,8,3,9,2,5,0,10,1,11,1,11,0,13,0,0,0
99,8,國立中央大學,N,,520201,    機械工程學系博士班,155,152,3,17,1,17,0,15,2,27,0,29,0,27,0,20,0,0,0
99,8,國立中央大學,N,,520403,    化學工程與材料工程學系博士班,36,36,0,7,0,9,0,6,0,9,0,3,0,1,0,1,0,0,0
99,8,國立中央大學,N,,349927,    營建管理研究所博士班,13,11,2,4,1,2,1,3,0,1,0,1,0,0,0,0,0,0,0
99,8,國立中央大學,N,,520901,    環境工程研究所博士班,22,16,6,1,0,3,0,3,3,3,1,0,2,5,0,1,0,0,0
99,8,國立中央大學,N,,520229,    光機電工程研究所博士班,4,4,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
99,8,國立中央大學,N,,521309,    能源工程研究所博士班,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
99,8,國立中央大學,N,,520502,    材料科學與工程研究所博士班,8,7,1,1,1,3,0,3,0,0,0,0,0,0,0,0,0,0,0
99,8,國立中央大學,N,,340301,    企業管理學系博士班,118,77,41,15,7,16,8,17,13,13,6,8,1,5,4,3,2,0,0
99,8,國立中央大學,N,,480109,    資訊管理學系博士班,69,53,16,6,2,10,3,10,1,9,2,8,4,5,1,5,3,0,0
99,8,國立中央大學,N,,310104,    產業經濟研究所博士班,24,11,13,3,0,3,0,1,2,3,2,0,1,1,4,0,4,0,0
99,8,國立中央大學,N,,349906,    工業管理研究所博士班,24,22,2,3,1,7,0,2,0,2,0,2,1,2,0,4,0,0,0
99,8,國立中央大學,N,,349919,    人力資源管理研究所博士班,16,6,10,0,0,2,2,4,3,0,3,0,0,0,0,0,2,0,0
99,8,國立中央大學,N,,340501,    財務金融學系博士班,22,13,9,3,3,1,1,2,1,1,0,1,1,4,1,1,2,0,0
99,8,國立中央大學,N,,310101,    經濟學系博士班,21,12,9,1,1,4,2,1,3,3,1,2,1,1,1,0,0,0,0
99,8,國立中央大學,N,,520101,    電機工程學系博士班,137,130,7,20,2,25,2,18,0,23,1,16,0,17,1,11,1,0,0
99,8,國立中央大學,N,,520114,    資訊工程學系博士班,116,108,8,17,1,20,2,16,1,18,2,9,1,8,1,20,0,0,0
99,8,國立中央大學,N,,520126,    通訊工程學系博士班,42,40,2,5,1,7,0,9,0,7,1,5,0,5,0,2,0,0,0
99,8,國立中央大學,N,,140805,    網路學習科技研究所博士班,20,17,3,5,1,3,1,2,0,6,0,1,1,0,0,0,0,0,0
99,8,國立中央大學,N,,440402,    大氣物理研究所博士班,19,14,5,3,1,4,0,2,1,0,1,0,1,1,1,4,0,0,0
99,8,國立中央大學,N,,440209,    地球物理研究所博士班,35,28,7,3,3,6,0,2,0,4,2,5,1,6,0,2,1,0,0
99,8,國立中央大學,N,,440603,    太空科學研究所博士班,37,33,4,7,0,7,0,4,1,4,0,5,0,1,1,5,2,0,0
99,8,國立中央大學,N,,440204,    應用地質研究所博士班,11,7,4,4,0,3,2,0,1,0,0,0,0,0,1,0,0,0,0
99,8,國立中央大學,N,,440207,    水文與海洋科學研究所博士班,6,6,0,0,0,3,0,1,0,2,0,0,0,0,0,0,0,0,0
99,8,國立中央大學,N,,440213,    地球系統科學國際研究生博士學位學程,10,8,2,4,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0
99,8,國立中央大學,N,,SUBT5,產業研發碩士專班           共計,7,6,1,4,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0
99,8,國立中央大學,N,,520188,    光電科學與工程學系光電產業研發碩士專班,5,4,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,8,國立中央大學,N,,520188,    光電科學與工程學系光電顯示產業研發碩士專班,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
