日期,標題,連結
2025-06-10-事務組,【工程五館停車場及人行道路公告】114/06/12~114/11/30工程五館周邊人行道路管制及汽車停車場部分暫停使用,https://www.oga.ncu.edu.tw/news/5f57f0b6/detail/9ec18720-2c88-47cf-9e08-b12256e50686
2025-06-10-事務組,114年暑期學生宿舍搬遷增開廢棄物巡迴收集班次,https://www.oga.ncu.edu.tw/news/5f57f0b6/detail/1fd99153-0ab7-4f87-b357-5e4505ea0358
2025-06-10-事務組,【緊急公告】松果餐廳地下室南側樹木修剪及移除,https://www.oga.ncu.edu.tw/news/5f57f0b6/detail/d34febb6-875b-4c84-8090-08a14dcec95e
2025-06-05-事務組,【公車公告】【9025A】國道客運繞駛中央大學，自114年06月09日起部分班次時刻異動,https://www.oga.ncu.edu.tw/news/5f57f0b6/detail/f508e94e-1928-46d1-a023-3ed722eefaef
2025-06-05-事務組,【公車公告】【172及173】中央大學 - 高鐵桃園站，自114年06月01日起部分班次時刻異動,https://www.oga.ncu.edu.tw/news/5f57f0b6/detail/5943ccc3-38d3-404b-a8a2-ff6e776f69f9
2025-05-31-事務組,【公告】114/06/02松樹松毛蟲防治,https://www.oga.ncu.edu.tw/news/5f57f0b6/detail/499640ac-41ef-4358-9167-66982e5df430
2025-05-29-事務組,【公告】114年垃圾減量暨資源回收宣導,https://www.oga.ncu.edu.tw/news/5f57f0b6/detail/617a8ce9-f18a-4f6a-bc79-b7cbd3aaef50
2025-05-28-事務組,【公告】４－８月為烏秋繁殖期，請注意自身安全,https://www.oga.ncu.edu.tw/news/5f57f0b6/detail/95ee1e09-36ad-4e8c-a272-dd940a685026
2025-05-24-事務組,【緊急公告】大講堂旁大榕樹樹枝幹斷裂危險，請繞道行走，以維護自身安全。,https://www.oga.ncu.edu.tw/news/5f57f0b6/detail/cde48a17-325f-4ea9-b952-70c39b18550e
2025-05-23-事務組,【延長申請】114年度端午連假前之接駁車預約申請試辦通知(發車至高鐵桃園站),https://www.oga.ncu.edu.tw/news/5f57f0b6/detail/819eeb2c-6f4f-4008-9aee-e19495a2eafe
2025-05-22-事務組,【轉知台灣高鐵企業會員優惠通知】線上訂團票享95折，限時再送購物折扣碼！,https://www.oga.ncu.edu.tw/news/5f57f0b6/detail/21b66fa4-0d2a-480f-a877-e99ac4798ce1
2025-05-20-事務組,【公告】114/05/22松樹松毛蟲防治,https://www.oga.ncu.edu.tw/news/5f57f0b6/detail/74f03edc-e0b9-4186-ba70-9b06510ab072
2025-05-19-事務組,114年度端午連假前之接駁車預約申請試辦作業,https://www.oga.ncu.edu.tw/news/5f57f0b6/detail/41c93c28-daac-4172-a3bf-0e61d99660d2
2025-05-19-事務組,"【公車及客運9025A改道】114年5月24日(星期六)「113學年度畢業典禮」公車改道公告Bus routes diversion on 24, MAY, 2025",https://www.oga.ncu.edu.tw/news/5f57f0b6/detail/96f9c920-b102-45e8-a06a-a192f13ac64b
2025-05-19-事務組,【交通訊息轉知】114年端午連續假期新聞與海報,https://www.oga.ncu.edu.tw/news/5f57f0b6/detail/d7c2e998-894a-4102-9283-09dee220cd22
2025-05-12-事務組,【公告】114年5月14日至15日前門復校紀念碑清洗作業,https://www.oga.ncu.edu.tw/news/5f57f0b6/detail/5b57a848-1a49-4c32-8feb-428c14ab242a
2025-05-11-事務組,「110%愛・捐款育樹」樹木認養＆資源回收宣導活動，歡迎踴躍參與！,https://www.oga.ncu.edu.tw/news/5f57f0b6/detail/90410e39-7465-4c99-a782-4d629ae0d861
2025-05-09-事務組,【除草公告】114年5月13日至15日進行汽車停車場除草作業,https://www.oga.ncu.edu.tw/news/5f57f0b6/detail/ed44db59-b19b-4579-86aa-3fb557bca512
2025-05-06-事務組,"【公車、9025A及中研院學術專車改道】114年5月15日(星期四)至5月18日(星期日) 「110週年校慶活動」公車改道公告Bus routes diversion on 15~18, MAY, 2025",https://www.oga.ncu.edu.tw/news/5f57f0b6/detail/f56fd583-a6ab-427c-ab63-f7b2bdbcd4f7
2025-05-05-營繕組,【清洗校區總水塔停水公告】114年07月26、27日、08月02日清洗水塔 停水公告,https://www.oga.ncu.edu.tw/news/5f57f0b6/detail/ed29766d-0aae-456f-bcc1-80f9e02f9566
2025-05-05-事務組,【交通訊息轉知】交通部公路局函協助宣傳「TPASS 2.0公共運輸常客 優惠回饋」措施,https://www.oga.ncu.edu.tw/news/5f57f0b6/detail/c741353d-5509-4377-aecd-938702862486
2025-05-02-營繕組,【施工公告】114年5月2日至114年8月27日 客家學院地磚及牆面整修工程 施工公告,https://www.oga.ncu.edu.tw/news/5f57f0b6/detail/785f8b2b-5fa2-41be-9420-f4d7d981ea7e
2025-05-01-事務組,【公告】114/5/2植物病蟲害防治,https://www.oga.ncu.edu.tw/news/5f57f0b6/detail/37d4110e-be62-4e06-bb6d-d5a9524185ab
2025-04-25-營繕組,【施工/人行道封閉公告】114年4月29日至114年6月13日 後門西側機車停車場設置工程 施工公告,https://www.oga.ncu.edu.tw/news/5f57f0b6/detail/280296cd-3963-4cd3-bd5c-47b9909c66aa
2025-04-02-事務組,【中研院學術專車(中央清大線) 4/4 (星期五)停駛公告 The Academia Sinica shuttle bus (A.S.-NCU-NTHU) will be suspended on April 4th (Friday)】,https://www.oga.ncu.edu.tw/news/5f57f0b6/detail/f8e4be8b-abb3-4ad7-8959-6ead2b6b31c5
2025-04-01-事務組,〈公告〉114年4月2日至6日樹木褐根病防治,https://www.oga.ncu.edu.tw/news/5f57f0b6/detail/eb04f590-e57a-4d38-83c4-53dcbd563758
2025-03-31-事務組,【遞補公告】中央大學114年度前門觀景臺機車停放資格1140331最末次公告,https://www.oga.ncu.edu.tw/news/5f57f0b6/detail/9c0194ae-f691-4c53-9f28-8792cbabf2c3
2025-03-28-營繕組,114年校區高壓電力系統檢驗維護 停電公告,https://www.oga.ncu.edu.tw/news/5f57f0b6/detail/768bc08b-9b9d-4216-b250-cf6a15d9013f
2025-03-28-事務組,《榕樹感染褐根病移除》114年4月2日至6日進行移除行政大樓旁大榕樹,https://www.oga.ncu.edu.tw/news/5f57f0b6/detail/8751e5df-b218-4203-8ee2-c906f021e4b3
2025-03-25-事務組,114/3/25松樹天牛防治,https://www.oga.ncu.edu.tw/news/5f57f0b6/detail/6031e203-2245-4c4a-9feb-10bcef52e815
2025-03-25-事務組,【交通訊息】114年清明連續假期新聞與海報,https://www.oga.ncu.edu.tw/news/5f57f0b6/detail/167db30c-365a-479c-8d67-2fe0aad3b5f1
2025-03-24-事務組,"【公車改道】114年3月29日(星期六)至3月30日(星期日)『全國大專校院學生社團評選暨觀摩活動』公車改道公告 Bus routes diversion on 29~30, MAR, 2025",https://www.oga.ncu.edu.tw/news/5f57f0b6/detail/dd6cb571-fbd2-4023-971c-5110004e70d1
2025-03-18-事務組,【除草公告】114年3月20日進行工五館汽車停車場除草作業,https://www.oga.ncu.edu.tw/news/5f57f0b6/detail/a1c30783-2374-404a-9edf-5da84aa1fa31
2025-03-13-營繕組,【施工公告】114 年 3 月 17 日後門中大新村一區圍牆敲除 施工公告,https://www.oga.ncu.edu.tw/news/5f57f0b6/detail/1ef83287-0dd9-4b12-bbd3-8a2f0d1993eb
2025-03-12-事務組,【除草公告】114年3月17日至19日進行汽車停車場除草作業,https://www.oga.ncu.edu.tw/news/5f57f0b6/detail/5a8f6c8f-0cbe-4e7f-9bac-4b46fe24d75f
2025-03-11-事務組,"【公車改道】114年3月21日(星期五)至3月23日(星期日)企業博覽會公車改道公告Bus routes diversion on 21~23, MAR, 2025",https://www.oga.ncu.edu.tw/news/5f57f0b6/detail/5e018f61-2f51-4c94-9f61-65830a48d279
2025-03-08-事務組,【公告】114/03/10松樹松毛蟲防治,https://www.oga.ncu.edu.tw/news/5f57f0b6/detail/eb2f886f-c4cc-4d93-bac6-2e6c342a7e80
2025-03-03-事務組,【公告】中大「校園生活垃圾意見調查」中獎名單,https://www.oga.ncu.edu.tw/news/5f57f0b6/detail/1dcc065d-9b93-459d-a492-3a026aab9ae8
2025-02-26-事務組,【五興路370巷中央大學停車場施工公告】敬請於114年3月14日前遷移您的愛車至他區停放,https://www.oga.ncu.edu.tw/news/5f57f0b6/detail/9b885095-1bdb-4e11-82ca-1990f5e4d83d
2025-02-25-事務組,【公告】114/2/25松樹松材線蟲土壤灌注加強防治,https://www.oga.ncu.edu.tw/news/5f57f0b6/detail/f31a34ae-0b2d-4a8f-87a3-24da737a92c0
2025-02-21-營繕組,【施工停電公告】114/3/2(日) 08：00 至 14：00 雷達站變電站高低壓電力設備缺失改善  施工停電公告,https://www.oga.ncu.edu.tw/news/5f57f0b6/detail/d07ead3a-a357-405f-8cea-0a884468580f
